,Institution,INST,Year,Public (1)/Private (2),Control,City,State,Status,Number of articles published by institution (Scopus),Average # of pubs per teaching faculty,Number of references in the articles published by institution (Scopus),pasted values from Y,Average number of references used in articles published by each institution,pasted values from AA,Research and Development Expenditures (HERD) - $ dollars in thousands,Volumes Held,Total Interlibrary Lending,Total Interlibrary Borrowing,Initial Circulation,Annual Gate Count,Total Prof.+Support+Student Staff,Total Materials Expenditures,Professional Salaries & Wages,Support Staff Salaries & Wages,Student Assistant Wages,Total Salaries & Wages,Other Operating Expenditures,Total Library Expenditures,Total Fulltime Students,"Part-time students, undergraduate and graduate",Total Fulltime Graduate Students,Part-time graduate students,Doctor's Degrees Awarded,Doctor's Degree Fields,Total Teaching Faculty,Titles held,Electronic books,One-time resource purchases,Ongoing resource purchases,Collection support,"Fringe Benefits, Dollar amount","Fringe Benefits, Official designated percent",Number of successful full-text article requests,Number of regular searches,Number of federated searches,Herd/ faculty,Library expenditures/ faculty,number of full-text article requests/ facutly
,Institution,instution_code,Average,priv-pub,,,,R1R2,total_publications,av_pubs_per_faculty,,total_references_in_pubs,,av_references_article,HERD,volumes_held,ILLlend,ILLborrow,circulation,gatecount,totalstaff,materials_expend,prof_salaries,support_staff_salaries,,,Other_operating_exp,total_lib_expendatures,total_full_time_students,,total_gradstudents,,degrees_awarded,degree_fields,total_teaching_faculty,titles_held,ebooks,,,,fringeben,fringbenpercent,fulltext-article-requests,regular-searches,federated-searches,av_herd_per_faculty,av_library_expend_per_faculty,av_full_text_articlere_quest_perfaculty
276,University of Pittsburgh-Pittsburgh Campus,69,Average,1,Public,Pittsburgh,PA,R1,7126.666667,3.432952033,315162.6667,315162.6667,44.23317239,44.23317239,896901.3333,7161499.333,41015.66667,22272.66667,147624,2134764,300.3333333,17180963.33,7566392,4787560.333,759569.3333,13113521.67,3096153.333,33390638.33,31304.66667,3532,7535.666667,2178.333333,1104,99.66666667,2020,5344938.667,1389145,2470629.333,13639615.33,1070718.667,4347714.667,37.7,7629136,4217758,#VALUE!,444,16530,2088
280,University of Rochester,70,Average,2,PrivateNP,Rochester,NY,R1,2833.333333,1.296900773,120191.6667,120191.6667,42.39146489,42.39146489,348700,4045615.333,16250.33333,17455.33333,128334.3333,152730,188.6666667,11325679.33,5893023.667,1869659,577410.6667,8340093.333,3356976,23022748.67,9507,1624.666667,3454.333333,1358.666667,377,62.33333333,2113.666667,3101443.333,753532.6667,2555122.667,8698405.333,72151.33333,2358714.667,28.33333333,2108481,1912704.667,0,165,10892,905
284,University of South Carolina-Columbia,71,Average,1,Public,Columbia,SC,R1,2289,1.224121591,104040.6667,104040.6667,45.43973813,45.43973813,208892.3333,4511787,16236,14570.33333,95268,1633882.333,268.3333333,9896240.667,5226176,3222261.333,598834.6667,9047272,3580498.333,22524011,39667,5502.333333,8639.666667,3469.333333,1059,91.33333333,2065,3124366.333,862475.3333,894248.3333,8637568.333,364424,2879385.333,31.86666667,2136810.333,46364172,15429339.67,101,10908,22452
288,University of Southern California,72,Average,2,PrivateNP,Los Angeles,CA,R1,5122,2.3684441,227264,227264,44.38784692,44.38784692,719406.3333,5949975.667,28626.66667,17658,118239,3264021.333,315,22619400,11066475.67,5678461.667,1750235.333,18495172.67,6269311.333,47383884,35839,6695.666667,17006.66667,6055,1584,162,2121,4406372,1475783.667,4436965.333,17944317,238117.6667,5616766.667,33.5,4396131.667,78174661.33,140242.6667,339,22340,36857
292,University of Utah,73,Average,1,Public,Salt Lake City,UT,R1,4571,2.976043716,199917,199917,43.7536587,43.7536587,416478.3333,4465933.333,33607.66667,21736,151773,1798702.333,312.3333333,9620589.667,5075808.333,6105047.667,1304862.667,12485718.67,3301755.667,25408064,23333,8537.333333,6246,1794.333333,705.3333333,70.66666667,1477.333333,3346165.667,695650.3333,1869019.667,7380515.667,371054.3333,4857783.667,36.33333333,3268118,9260630.333,#VALUE!,282,17199,6268
296,University of Virginia-Main Campus,74,Average,1,Public,Charlottesville,VA,R1,3779.666667,2.563069603,169879.6667,169879.6667,44.9749568,44.9749568,413452.6667,5849466,24017.33333,29171.66667,215002.6667,2152631,323.6666667,14569161,11914239,5372175.667,1336500.333,18622915,5828727.333,39020803.33,21675.33333,2162.333333,6040.333333,1280.666667,831.6666667,54.66666667,1397.666667,5376414,619280.6667,3729215.333,10543096.33,296849.3333,6236704.667,31.53333333,,3483985,#VALUE!,296,27919,2493
300,University of Washington-Seattle Campus,75,Average,1,Public,Seattle,WA,R1,9982.666667,2.387460167,439587.3333,439587.3333,44.0445422,44.0445422,1268820.667,9270267.333,50587.33333,80751,277201.6667,5683179.333,441,18659350.33,13275038.33,6714651.667,2314912,22304602,5947611.333,46911563.67,48024.33333,7093.333333,12421,3232.333333,1352.333333,115.6666667,4109.666667,5761513,958037,4944475.667,12470947.33,1243927.333,6513352.667,30.53333333,6566016.333,9919670,#VALUE!,309,11415,2414
304,University of Wisconsin-Madison,76,Average,1,Public,Madison,WI,R1,7212,2.11462209,329874.3333,329874.3333,45.73898378,45.73898378,1140056.667,9909934.333,104048.6667,82890,296689.6667,2900992.667,381.6666667,12813091.67,11998881.33,3874251.333,1913866.333,17786999,5402542.333,36002633,38254.33333,4377.666667,9775,1976,1461.333333,114.3333333,3372.333333,8015843.333,1581717.667,2948516,9394309,470266.6667,6086555,37,6824703.667,16913125,2415879.667,338,10676,5015
308,Vanderbilt University,77,Average,2,PrivateNP,Nashville,TN,R1,5058.666667,1.377911774,221086,221086,43.7020446,43.7020446,666898,4811474,19602.33333,18541.66667,118923.6667,1290421,200,13433818.67,6101997.667,2759163.667,469977.6667,9331139,4732469.333,27497427,12374.33333,922.6666667,5572,856.6666667,689.6666667,58.66666667,3580.333333,4138300,1739709.333,1718857.667,11448718.67,266242.3333,2350326,26.66666667,3061375.333,23574382.67,42613.66667,186,7680,6584
312,Washington State University,78,Average,1,Public,Pullman,WA,R1,2384.666667,1.710625491,113526.3333,113526.3333,47.59948412,47.59948412,341372.3333,3054840.667,37093,40915.66667,63131.33333,1393401.333,136.6666667,6661026,2836704,2700925,588576.3333,6126205.333,824252,13611483.33,24808,4696.666667,3515,1576,290.6666667,56.66666667,1331.333333,2712377.333,670925.6667,548844.6667,5978010.333,134171,1996819,,1996466.667,2151468,#VALUE!,256,10224,1616
316,Washington University in St Louis,79,Average,2,PrivateNP,Saint Louis,MO,R1,5107.666667,2.496063404,227322.6667,227322.6667,44.5094825,44.5094825,729882,5428587.667,37674,34407.66667,128469,1010093,236,15081833.33,7211112,2965744,587660.6667,10764516.67,3470404.333,29316754.33,12647.33333,2047,5840.666667,1367,282,45,1958.666667,4326066.333,1794979,2783122.667,12092085.67,206625,3646344.333,30,5129945.333,3505311.667,164740.3333,373,14968,1790
320,Wayne State University,80,Average,1,Public,Detroit,MI,R1,2440,2.418194281,108098,108098,44.28978751,44.28978751,221047.6667,3138436,19173,23620.33333,26152.66667,1352324.333,215.6666667,9978910.333,4825139,1902002,806537.3333,7533678.333,1823464.667,19336053.33,18014.33333,9331.666667,6034.333333,3566.333333,790.6666667,64.33333333,1025,2717523,1065187,241676,9442594,294640.3333,2484708.667,31,1508643.333,5384544.667,94163.66667,216,18864,5253
324,Yale University,81,Average,2,PrivateNP,New Haven,CT,R1,7292.333333,3.023712159,339566.6667,339566.6667,46.56676754,46.56676754,878617.6667,13377656.33,53405,53833,374454.6667,,552.6666667,38440420.67,21033059.33,15990590.67,1125057.333,38148707.33,11431967.67,88021095.67,12314.66667,144,6780,141.6666667,757,68.33333333,2364.666667,11284072,1649221.667,23679059.67,14180289.67,581071.3333,15218295,28.46666667,7395125.333,13471735.5,458763.6667,372,37223,5697
