,Institution,INST,Year,Public (1)/Private (2),Control,City,State,Status,Number of articles published by institution (Scopus),Average # of pubs per teaching faculty,Number of references in the articles published by institution (Scopus),pasted values from Y,Average number of references used in articles published by each institution,pasted values from AA,Research and Development Expenditures (HERD) - $ dollars in thousands,Volumes Held,Total Interlibrary Lending,Total Interlibrary Borrowing,Initial Circulation,Annual Gate Count,Total Prof.+Support+Student Staff,Total Materials Expenditures,Professional Salaries & Wages,Support Staff Salaries & Wages,Student Assistant Wages,Total Salaries & Wages,Other Operating Expenditures,Total Library Expenditures,Total Fulltime Students,"Part-time students, undergraduate and graduate",Total Fulltime Graduate Students,Part-time graduate students,Doctor's Degrees Awarded,Doctor's Degree Fields,Total Teaching Faculty,Titles held,Electronic books,One-time resource purchases,Ongoing resource purchases,Collection support,"Fringe Benefits, Dollar amount","Fringe Benefits, Official designated percent",Number of successful full-text article requests,Number of regular searches,Number of federated searches,Herd/ faculty,Library expenditures/ faculty,number of full-text article requests/ facutly
,Institution,instution_code,Average,priv-pub,,,,R1R2,total_publications,av_pubs_per_faculty,,total_references_in_pubs,,av_references_article,HERD,volumes_held,ILLlend,ILLborrow,circulation,gatecount,totalstaff,materials_expend,prof_salaries,support_staff_salaries,,,Other_operating_exp,total_lib_expendatures,total_full_time_students,,total_gradstudents,,degrees_awarded,degree_fields,total_teaching_faculty,titles_held,ebooks,,,,fringeben,fringbenpercent,fulltext-article-requests,regular-searches,federated-searches,av_herd_per_faculty,av_library_expend_per_faculty,av_full_text_articlere_quest_perfaculty
80,Johns Hopkins University,20,Average,2,PrivateNP,Baltimore,MD,R1,10913.66667,8.392113449,469639.3333,469639.3333,43.04014538,43.04014538,71840289.67,4979178,54579.66667,41147.66667,151055.3333,1727377,260.6666667,20406372,10594607.67,2879876,685930.6667,14160414.33,8788482.333,43355268.67,14091,8934.333333,7416,8382.333333,532,57,1300.333333,4020975.667,1545024.667,3185878.333,16909464.33,311029.3333,4652307.333,34.33333333,8056432,9810459.333,29187043,55248,33342,7545
84,Kent State University at Kent,21,Average,1,Public,Kent,OH,R2,903.6666667,0.676776775,41224,41224,45.59359409,45.59359409,38244.33333,3242442.333,5804.666667,9639,214081.6667,977571.6667,103,5565382,3935087,684243.3333,595583.6667,5214914,853363.3333,11633659.33,30233,10768.33333,3602,2811,201.6666667,40.33333333,1335.333333,2813105,1076370.333,698892.6667,4220173.333,646316,1795731.333,37.43333333,1340717,5250735,649032.3333,29,8712,3932
88,Massachusetts Institute of Technology,22,Average,2,PrivateNP,Cambridge,MA,R1,6429,6.390564276,300377.6667,300377.6667,46.71684682,46.71684682,942965,3097720.667,24463,21027,95117,546651.6667,173.6666667,10924221.67,8126123.667,2814602.667,450848.3333,11391574.67,2612831,24928627.33,11156.66667,185.3333333,6675.333333,145.6666667,624.6666667,35.66666667,1006,2388486.333,666573.6667,1538164.333,8941630,444427.3333,2686318.667,24.66666667,6110867.667,4397604.667,37782879,937,24780,4371
92,Michigan State University,23,Average,1,Public,East Lansing,MI,R1,4782.666667,1.679462712,230095.6667,230095.6667,48.08976499,48.08976499,622178,7268778.333,66728,18018.33333,158508.6667,1353372.333,286.3333333,18343856.67,6990981,5981356.333,909727,13882064.33,3385793,35611714,44600.66667,6600.666667,9123,3072,1457.333333,99,2847,7704591.667,2062462.667,4487212,13489256.67,367388,300618,30,4136368.333,3452117.667,#VALUE!,219,12509,1213
96,New York University,24,Average,2,PrivateNP,New York,NY,R1,6164.666667,1.380002214,270045,270045,43.80290446,43.80290446,776508,6963640.333,33023.66667,47808.66667,247899,2722896,494,30421110,19277568.33,5918996.333,1358514.333,26555079,7507471,64483660,39381,8975.666667,13444.33333,7777,815.3333333,108.6666667,4469,5979730.333,2306468.333,11943277.67,17492949.33,984883,7984678.667,36.36666667,10823758,6017998.667,176529.3333,174,14429,1347
100,North Carolina State University,25,Average,1,Public,Raleigh,NC,R1,3601,2.002477239,162815.6667,162815.6667,45.14902225,45.14902225,486218.6667,5171121.333,19985,27311.33333,102370.3333,2417581.667,258.3333333,11964327.67,9132525.667,3398158,970857.3333,13501541,8172376,33638244.67,26760.66667,7159,5324.333333,3769,614.3333333,63,1798,2847192,1019491.333,2316071.333,8409509.333,1238747,3790421,32,3535868.333,5992784.667,1167328.667,270,18709,3333
104,Northwestern University,26,Average,2,PrivateNP,Evanston,IL,R1,6486.333333,2.943895957,292291.3333,292291.3333,45.06771425,45.06771425,707155.6667,6782327.333,41139.33333,41513.66667,126108.3333,1293650,362.3333333,16833897,10004056.33,5406417,577822.6667,15988296,4584888.333,37407081.33,15659.66667,3102,7379,2700.666667,543,71.66666667,2694.666667,6163999.667,1588877.667,4404205.667,11932960.67,496730.6667,4141700,27.2,5003701,2737748,0,262,13882,1016
108,Ohio State University,27,Average,1,Public,Columbus,OH,R1,7189.666667,3.7413539,321381,321381,44.71918371,44.71918371,833557.3333,7537212.333,84611.33333,64755.66667,273903.6667,3475209.333,339,15019371.33,7776127.333,4560528.333,1330817.667,13667473.33,7179235.333,35866080,46485,10745.33333,7623.333333,3466.666667,1169.333333,105,2223.666667,5443068.333,1166643.667,4124131.333,10142951,752289,4611867.333,36.46666667,4211411,7965220,296125.3333,375,16129,3582
112,Ohio University-Main Campus,28,Average,1,Public,Athens,OH,R2,872.6666667,0.592829971,41441.66667,41441.66667,47.50717386,47.50717386,60429,5450705.667,62647.66667,52159,204529.6667,2397556,215.3333333,9919763,5550178,3334062.667,973759.6667,9858000.333,4678993.667,24456757,35425.66667,11780.66667,5270.333333,3155,775.6666667,79.33333333,1751.666667,4166053.333,1034433,2157947.333,7212941,548874.6667,3092088,37.1,3252871.667,5521382.667,22846,34,13962,3152
116,Princeton University,29,Average,2,PrivateNP,Princeton,NJ,R1,3486.333333,3.770612007,160058,160058,45.92209174,45.92209174,304570.3333,9991410.333,46920.33333,42140.66667,201216.6667,,373.6666667,28722216.67,12174878,7995086.667,1347571,21517535.67,5470631.667,55710384,8005.666667,0,2738,0,346.5,72,924.6666667,7689325.667,1964216,12324628.67,15079265,1318323,5746863.333,28.53333333,2892448,858192,#VALUE!,329,60249,928
120,Purdue University-Main Campus,30,Average,1,Public,West Lafayette,IN,R1,4847.333333,2.576999654,214824.6667,214824.6667,44.29858544,44.29858544,595909,3753539,29262,23238.66667,54255.66667,2507521,219.3333333,14895402.67,6429442.333,2523427.667,1012530,9965400,3493621,28354423.67,35005.33333,5219.333333,6073.333333,3559,962.6666667,71,1883.666667,3414106.333,2071394.333,1470019.667,12615742.67,809640.3333,3431836.667,38,5111864.667,5135573,523881.3333,316,15053,2726
124,Rice University,31,Average,2,PrivateNP,Houston,TX,R1,1706.666667,2.589331083,77145.33333,77145.33333,45.19625045,45.19625045,155499.6667,2919791,17890.66667,12421,81118.33333,543462,118.3333333,11792319.67,4369566,1297603.667,156655.6667,5823825.333,1151057,18767202,6462.666667,269,3392.666667,216.3333333,208.6666667,31.33333333,659,2472712.333,139421,3595289,7643917.333,553113.3333,1541876.667,27.16666667, , ,#VALUE!,236,28478,
128,Stony Brook University,32,Average,1,Public,Stony Brook,NY,R1,2537.333333,1.54750891,119421.6667,119421.6667,47.07028344,47.07028344,229937.6667,2244475,17765.66667,10488.33333,50772.66667,1994435.333,103,8887200.667,5618025.333,,328014.6667,5946040,440967.3333,15274208,20989,4215.333333,5336.666667,3088.666667,607.3333333,50.66666667,1642.666667,2029101.333,347926.3333,529213,7979689.667,378298,,,2079546.667,3082578.667,146812966.7,140,9298,1877
132,Syracuse University,33,Average,2,PrivateNP,Syracuse,NY,R1,973,0.8953444,47684.33333,47684.33333,49.04049435,49.04049435,100084,5117645.667,27894.33333,15763.66667,113714.6667,1330775.333,192.3333333,10900994.67,5599566.333,3503666.333,507838.6667,9611071.333,2517667.667,23029733.67,19280,2470.333333,4530.333333,1825,225,61.33333333,1086.666667,3677879.333,397647,2294158.667,8268514,338322,3437443,40.5,835348.3333,16434002.33,3153.666667,92,21193,15123
136,Temple University,34,Average,1,Public,Philadelphia,PA,R1,2244.333333,1.045233826,108471.3333,108471.3333,48.33289415,48.33289415,247415,4841046.333,26449.33333,20653,142933.6667,2073911.667,182,10804025,5748666.333,2140508.333,797067.3333,8686242,2581474.333,22071741.33,33351.66667,5773,7123.333333,2645.333333,1149,62.66666667,2146.666667,3768095.667,1180309.333,1470754.333,8900107.333,433163.3333,2327172.667,30.76666667,2510920,7591690.333,#VALUE!,115,10282,3537
140,Tulane University of Louisiana,35,Average,2,PrivateNP,New Orleans,LA,R1,958,0.77714379,44277.33333,44277.33333,46.19948311,46.19948311,166363,4558420.333,12572.66667,8296,76299.66667,843546.3333,154.3333333,12270619.33,3403504,2353585.333,179476.3333,5936565.667,1565768,19772953,14557.66667,2430,7016,985.3333333,923.6666667,77.33333333,1240.333333,2976649.333,1032065,2466402.333,9016325.667,787891.3333,1336055,23.66666667,1683534.667,4278960.667,5552722.333,134,15942,3450
144,University of Arizona,36,Average,1,Public,Tucson,AZ,R1,4510.666667,2.535551279,216778.6667,216778.6667,48.06611285,48.06611285,610961,7371752,39468,30654.66667,259846.6667,2859664.667,221,15205909.67,5997819.333,4574748.667,800069.6667,11372637.67,4778950.667,31357498,37413,6112,7586,2279,656,99.66666667,1778.666667,5040369.667,1837957.333,2854175,11330738.33,1020996.333,3750934.333,35.86666667,7793975.667,4603038.333,0,343,17630,2588
148,University of California-Berkeley,37,Average,1,Public,Berkeley,CA,R1,6759,4.182006563,331333,331333,49.01179379,49.01179379,777860.6667,12443865.33,27849.66667,13730.33333,314207,,490.3333333,24016003.67,20266016.67,5728953.333,2967667,28962637,8184093,61162733.67,36263.33333,2389.333333,9247,1428.333333,821,94,1616.333333,10017754.67,1523342,8565833.667,14404504,1045666,10555459,,8411507,37348880.5,#VALUE!,481,37840,23107
152,University of California-Davis,38,Average,1,Public,Davis,CA,R1,6262.666667,3.825131755,299058,299058,47.75720432,47.75720432,733772,4687044.667,21100,15643,97651.33333,2168154.333,155,9454119.667,5267401.667,3697090,562593.6667,9527085.333,2156969.667,21138174.67,34775.66667,602.6666667,6645.333333,180.3333333,929.6666667,72.66666667,1637.333333,3594153.333,879072.3333,1725917,7661576.333,66626.33333,4332489.333,50.66666667, , ,#VALUE!,448,12910,
156,University of California-Irvine,39,Average,1,Public,Irvine,CA,R1,3918,3.225069002,185172,185172,47.25482727,47.25482727,345510.3333,3744787.667,12983.33333,14528.33333,72801.66667,1790953,188,9285988,4944618.333,5342639.667,517984.3333,10805242.33,1690805.667,21782036,30296,917.6666667,5003,518.6666667,601.6666667,51.33333333,1214.333333,3399947.667,1216163.667,1608664.333,7459775.333,217548.3333,4554444,, , ,#VALUE!,285,17937,
160,University of California-Los Angeles,40,Average,1,Public,Los Angeles,CA,R1,9505.333333,3.899560362,416506.3333,416506.3333,43.66092429,43.66092429,1045224,12430916.33,30896.66667,33118,474510.6667,3483473,522.3333333,16730764,13507526.67,12600164,3319499.667,29427190.33,11027460,57185414.33,42439,1390,12979,819.6666667,769.6666667,80,2474,13446424.33,2139049.667,5921405.333,9950814,858544.6667,11131755,,10422816.67,10221489.67,224998.3333,422,23115,4132
164,University of California-Riverside,41,Average,1,Public,Riverside,CA,R1,2101.666667,2.289692841,102520.6667,102520.6667,48.76837403,48.76837403,153458.6667,4239535.667,12554.66667,11418.66667,65188,976572,136,5077315.667,3744454.667,2563990,531171.3333,6839616,1452925.333,13369857,21575.66667,422.3333333,2819.666667,115.3333333,273,45.33333333,922,3018333.667,973724.6667,766030,4048559.667,262726,3116420.333,36.66666667,1586104,3486189.333,#VALUE!,166,14501,3781
168,University of California-San Diego,42,Average,1,Public,La Jolla,CA,R1,7472.666667,6.980770816,341491.3333,341491.3333,45.69106898,45.69106898,1107345.667,4748723.333,18486.33333,12231.33333,154614,1870848,288.3333333,9511900.333,8878754.333,4997548.667,1204046.333,15080349.33,6391964.333,30984214,31822,506,5715,104,534,92.33333333,1070.333333,3046531.5,1590948.667,2015452,7496448.333,0,7860380,52,6707732.5,1345865,#VALUE!,1035,28948,1257
172,University of California-Santa Barbara,43,Average,1,Public,Santa Barbara,CA,R1,2527.333333,2.67896412,125572,125572,49.67991627,49.67991627,230418.3333,3208086,12840.66667,28528,105292.6667,2006529.333,210,5734451.667,4039657.333,4759041,744055.3333,9542753.667,4278786,19555991.33,22306,362,2816.666667,8.333333333,343.3333333,46.33333333,961.3333333,8212160.667,871382,1380817.333,4353634.333,#VALUE!,3955168.667,51.3, , ,#VALUE!,240,20343,
176,University of Chicago,44,Average,2,PrivateNP,Chicago,IL,R1,4706,2.255022861,219194.3333,219194.3333,46.60660266,46.60660266,422287,11286797.67,50659.66667,46156.33333,200288.6667,1376892,256.6666667,18529976.67,5712607.333,6365980.333,989911.6667,13068499.33,3304381,34902857,13069.66667,2550,7175,2404.666667,687.3333333,70,2087.333333,7371794.333,1541307,5147478.667,12883732.67,498765.3333,3563911,29.73333333,7981258.667,13627185.33,39802374,202,16721,6529
180,University of Cincinnati-Main Campus,45,Average,1,Public,Cincinnati,OH,R1,2981,1.301314909,136762.6667,136762.6667,45.95917076,45.95917076,440619,4378677,30814.33333,21599,116712.3333,1695335.333,169.6666667,10747982.67,6343803.333,1489449.333,811928.6667,8645181.333,2169369,21562533,31584.66667,12508.66667,5501.333333,5440,703,76.66666667,2298,3722575.667,1542014.667,1399484,9219410.667,129088,3094491.333,34.86666667,2049571.333,4901335,0,192,9383,2133
184,University of Colorado Boulder,46,Average,1,Public,Boulder,CO,R1,4058,2.661484211,201139.6667,201139.6667,49.55376357,49.55376357,457762.3333,7286723.667,86807,36039.66667,210539,1869480.333,212.6666667,12385514.33,4601669.333,3651973.333,1004019,9257661.667,1846544.333,23489720.33,27185,5636.666667,2450,3505,564.6666667,58.66666667,1491.666667,5598417.333,778259.6667,2602818.333,8965938,816758,2777160,29.66666667,2939534,1888510.333,6432585,307,15747,1266
188,University of Connecticut,47,Average,1,Public,Storrs,CT,R1,3115.666667,1.532880133,141393,141393,45.37841191,45.37841191,264188.6667,3752604.333,34615,38355.33333,95731.33333,1724577,181.6666667,11476336,6413604.333,3412736.667,719081.3333,10545422.33,1240411.333,23262169.67,28527.66667,3890.333333,5062,2433,710.3333333,76.33333333,2040,2631113,832886,670233,9705253.333,1100849.667,5906788,65.26666667,4816683.667,5407732,993050,130,11403,2651
192,University of Delaware,48,Average,1,Public,Newark,DE,R1,1866.666667,1.508847475,89593,89593,48.00093652,48.00093652,178482.3333,3287009.667,26135.33333,16620,145350.3333,974325.3333,156,11659024.33,4981987.667,2836617.333,317456.6667,8136061.667,1649920,21445006,20567.33333,2276.666667,2975.666667,782.6666667,299.6666667,61.33333333,1184,2478644.333,487979.3333,3068055,8060560.333,530409,3794955,38.4,1607909,1088989,787320,151,18112,920
196,University of Florida,49,Average,1,Public,Gainesville,FL,R1,7225,2.231729175,320655,320655,44.36174503,44.36174503,777411.3333,5738953.667,19899.66667,27547,182214.6667,2995022.667,322,13607574.33,6320045.333,6789854.667,743019.3333,13852919.33,3843494,31303987.67,43155.33333,8822.333333,12432.33333,4796.333333,1950,86.66666667,3173.333333,5441206.667,1419879.667,1188907.667,11957663.67,461003,4313877.333,26,4526817.333,7528535,#VALUE!,245,9865,2372
200,University of Georgia,50,Average,1,Public,Athens,GA,R1,3189.666667,1.624193274,151894,151894,47.63285903,47.63285903,655658.6667,5223522.333,30373.33333,9148,174660,2891124.667,291,13482256.67,5298567.333,5098844.667,740658,11138070,2017650.667,26637977.33,32667.66667,3495.333333,6799.333333,1903.666667,942,52.66666667,1898,4301392.667,702171.6667,2119206,10607740.67,755310,3472792.333,30.5,3825170,9281258.333,1654641.333,345,14035,4890
204,University of Hawaii at Manoa,51,Average,1,Public,Honolulu,HI,R1,2137.333333,1.216730372,104827.6667,104827.6667,49.0055755,49.0055755,304331.3333,3569193.333,6134.666667,19811.66667,98791.66667,1276440.333,190.3333333,9812495.333,6500993,2572581,921001.6667,9994575.667,1144947,20952018,14817.66667,4771.666667,3477,2486.666667,510,61,1663,3216242.667,503422,731732,8727550.333,353213,3764232.333,51.46,2345287.667,3293716,23515,183,12599,1981
208,University of Houston,52,Average,1,Public,Houston,TX,R1,2117.333333,1.38696959,96140,96140,45.41628554,45.41628554,160702.6667,3642838.667,28859.33333,20879,81781.33333,2146336,180.3333333,12542659.67,5351226,2471366.667,738705.3333,8561298,1773930.667,22877888.33,30705.66667,11758.33333,5813.666667,2149.666667,764.6666667,52,1493.666667,2818502,821622.6667,1110147,10074896.33,1357616.333,2157426,30.33333333,1649287,3976738,966437.3333,108,15317,2662
212,University of Illinois at Chicago,53,Average,1,Public,Chicago,IL,R1,3591,1.782500645,157685.6667,157685.6667,43.91594413,43.91594413,354825,2436759.667,37973,27526,112569.6667,2594869,173,8506496.667,4461141,3289189,570327,8320657,2075816,18902969.67,21782.33333,3105.666667,8470.666667,2167.666667,1027.333333,59.33333333,1948,2496852.333,563943,933565.6667,7568118,4813,2784154.333,39.13333333,3718255.333,23971075.67,3285142.333,182,9704,12305
216,University of Illinois at Urbana-Champaign,54,Average,1,Public,Champaign,IL,R1,5559,2.444074198,264033.6667,264033.6667,47.49798548,47.49798548,635693.6667,14557300.67,77984,53489.33333,384820.6667,5285342,444.3333333,19352077.33,13177905.67,7677377.333,2361795.667,23217078.67,4386655.333,46955811.33,41874.33333,4103.333333,9784,2774,1081.333333,92.33333333,2250,8836228.667,1171671.667,4198055.333,14262021,892001,8501981,42.78666667,8848666.333,36835662,#VALUE!,283,20869,16371
220,University of Iowa,55,Average,1,Public,Iowa City,IA,R1,3757.333333,2.566004519,153704.3333,153704.3333,40.91222158,40.91222158,470286.6667,7863312.333,41970.66667,20442,149627,2322394,242.3333333,19687035.67,7323571.333,4289376.333,808195,12421142.67,2178058.667,34286237,24889.33333,6052.333333,4781,2765,353,74.66666667,1435.666667,6144149,1958621.333,3474164,15537399,675472.6667,4493208.667,36.09,2760870.333,5813886,2588047,328,23882,4050
224,University of Kentucky,56,Average,1,Public,Lexington,KY,R1,3008.666667,2.140857937,133132,133132,44.24834857,44.24834857,353246.6667,4743005,20539,16139,91962.66667,1350027,223,10623721,6433347,2348879.333,488990,9271216.333,2936637.667,22831575,26698.33333,2872,5791,1263,875,75.33333333,1378.666667,3999578.667,1516023.333,1254235.333,8593834.667,775651,2865771.333,27.09,3079891.333,1601440.333,100686.3333,256,16561,1162
228,University of Louisville,57,Average,1,Public,Louisville,KY,R1,1766.666667,1.606400725,81943,81943,46.44717373,46.44717373,86118.33333,2404276.667,18753.66667,23865.66667,82850,2239442.667,140,10385685,3730393.667,1703877,407527.6667,5841798.333,1479114.667,17706598,16989,5192.333333,3980.666667,1645.333333,554.6666667,36.66666667,1188.333333,1868208,134800.6667,1292467.333,8843871.333,249346.3333,1953357.333,28.5,1474117,1205449.333,0,72,14900,1014
